Customer ID,Number of Items,Kiosk Type,Kiosk Number,Time In Line,Time to Checkout,Employee Involved?
183,7.0,self,2,0.0,325.768796586,False
170,13.0,self,0,256.996101093,384.693974018,False
195,34.0,cashier,0,0.0,102.850658149,False
193,4.0,self,1,96.3160215047,81.6945601705,True
190,3.0,self,2,222.188078697,58.7683255205,False
197,1.0,self,1,55.4810261181,65.7522803442,False
191,1.0,self,2,277.690264681,39.4698245093,False
198,24.0,cashier,0,0.0,72.6004645759,False
204,5.0,cashier,2,0.0,16.6318529924,False
205,8.0,cashier,3,0.0,15.2376797765,False
192,4.0,self,2,309.589499752,148.124972859,False
203,31.0,cashier,1,0.0,62.8096726061,False
202,34.0,cashier,0,0.0,102.850658149,False
200,5.0,self,1,0.0,144.715876865,True
199,5.0,self,0,0.0,197.316840597,True
206,34.0,cashier,4,0.0,107.998377315,False
211,7.0,cashier,0,0.0,21.1751355013,False
212,5.0,cashier,0,0.0,15.1250967866,False
213,19.0,cashier,1,0.0,38.4962509521,False
216,27.0,cashier,0,0.0,81.6755226479,False
218,24.0,cashier,1,0.0,48.6268433079,False
222,18.0,cashier,1,0.0,36.4701324809,False
201,19.0,self,1,118.813542794,322.458658197,True
219,27.0,cashier,0,0.0,81.6755226479,False
208,1,self,1,344.890248229,17.26832295,False
223,20.0,cashier,2,0.0,66.5274119695,False
224,24.0,cashier,3,0.0,45.7130393294,False
225,21.0,cashier,1,0.0,42.5484878944,False
228,5.0,cashier,1,0.0,10.1305923558,False
226,33.0,cashier,0,0.0,99.8256387919,False
230,27.0,cashier,1,0.0,54.7051987214,False
209,5.0,self,1,317.807923019,186.104293127,True
234,22.0,cashier,3,0.0,41.9036193853,False
231,27.0,cashier,2,0.0,89.8120061588,False
235,15.0,cashier,4,0.0,47.646342933,False
233,28.0,cashier,0,0.0,84.7005420052,False
241,8.0,cashier,1,0.0,16.2089477693,False
210,5.0,self,1,489.900431065,129.738060854,True
242,20.0,cashier,2,0.0,66.5274119695,False
240,34.0,cashier,0,0.0,102.850658149,False
244,21.0,cashier,1,0.0,42.5484878944,False
245,18.0,cashier,0,0.0,54.4503484319,False
247,8.0,cashier,1,0.0,16.2089477693,False
248,5.0,cashier,0,0.0,15.1250967866,False
214,15.0,self,0,0.0,678.466252055,False
246,23.0,cashier,2,0.0,76.5065237649,False
229,3.0,self,0,365.297249628,80.2026940691,False
251,21.0,cashier,0,0.0,63.5254065039,False
236,1,self,0,339.10237196,18.2542716022,False
254,29.0,cashier,1,0.0,58.7574356637,False
257,24.0,cashier,0,0.0,72.6004645759,False
259,22.0,cashier,1,0.0,44.5746063656,False
260,25.0,cashier,2,0.0,83.1592649619,False
239,4.0,self,0,284.119323099,171.619474461,True
262,6.0,cashier,1,0.0,12.156710827,False
227,18.0,self,1,296.424486339,477.709466756,True
264,22.0,cashier,1,0.0,44.5746063656,False
261,31.0,cashier,0,0.0,93.7756000772,False
